Date,ZC_01,ZC_02,ZC_03,ZC_04,ZC_05,ZC_06,ZC_07,ZC_08,ZC_09,ZC_10,ZC_11,ZC_12,ZC_13,ZC_14,ZC_15,ZC_16,ZC_17,ZC_18,ZC_19,ZC_20,ZC_21,ZC_22,ZC_23,ZC_24,ZC_25,ZC_26,ZC_27,ZC_28,ZC_29,ZC_30
2021-12-31,0.299,0.625,0.8723,1.0349,1.1447,1.2246,1.2875,1.3402,1.3864,1.4279,1.4659,1.5009,1.5334,1.5635,1.5916,1.6177,1.6419,1.6645,1.6856,1.7052,1.7235,1.7405,1.7564,1.7712,1.7851,1.798,1.8102,1.8216,1.8323,1.8423
2020-12-31,0.1172,0.1156,0.178,0.2756,0.39,0.5093,0.6265,0.7373,0.8398,0.9331,1.0175,1.0933,1.1613,1.2224,1.2775,1.3275,1.3731,1.415,1.4539,1.4903,1.5247,1.5574,1.5889,1.6193,1.6489,1.678,1.7066,1.7349,1.7629,1.7908
2019-12-31,1.6231,1.5941,1.6159000396729,1.6591000556946,1.7101000547409,1.7630000114441,1.815199971199,1.8658000230789,1.9144999980927,1.9610999822617,2.0057001113892,2.0483999252319,2.0890998840332,2.1280000209808,2.1649000644684,2.1998999118805,2.233099937439,2.2646000385284,2.2943000793457,2.3224000930786,2.3489000797272,2.3740000724792,2.3975999355316,2.4198000431061,2.4407999515533,2.460599899292,2.479199886322,2.4969000816345,2.5134999752045,2.5292000770569
2018-12-31,2.5743,2.4859,2.4624,2.4752,2.5065,2.5459,2.5873,2.6275,2.6649,2.6991,2.7301,2.7583,2.784,2.8078,2.8301,2.8514,2.8719,2.892,2.9119,2.9318,2.9517,2.9719,2.9923,3.0129,3.0339,3.0551,3.0767,3.0985,3.1205,3.1428
2017-12-31,1.7573,1.8852,2.0033,2.1056,2.1912,2.2613,2.318,2.3638,2.4012,2.432,2.4582,2.4811,2.5019,2.5213,2.5402,2.5588,2.5777,2.5969,2.6167,2.6371,2.6583,2.68,2.7025,2.7255,2.7491,2.7732,2.7978,2.8227,2.8479,2.8733
2016-12-31,0.8977,1.2018,1.5014,1.7631,1.9786,2.1507,2.2864,2.3932,2.478,2.5466,2.6036,2.6523,2.6955,2.7351,2.7724,2.8084,2.8438,2.8791,2.9146,2.9504,2.9867,3.0234,3.0606,3.0981,3.1361,3.1743,3.2127,3.2512,3.2898,3.3284
2015-12-31,0.7898,1.0755,1.3501,1.5921,1.7961,1.9638,2.1003,2.2112,2.302,2.3775,2.4417,2.4976,2.5477,2.5938,2.6373,2.6793,2.7203,2.761,2.8017,2.8425,2.8836,2.9251,2.9669,3.0091,3.0515,3.0942,3.137,3.1799,3.2228,3.2656
2014-12-31,0.294,0.7064,1.1185,1.4471,1.6912,1.8696,2.0014,2.1012,2.1795,2.2432,2.2971,2.3442,2.3867,2.4259,2.4627,2.4977,2.5315,2.5641,2.5959,2.6268,2.657,2.6866,2.7155,2.7437,2.7713,2.7982,2.8245,2.8501,2.8751,2.8994
2013-12-31,0.1511,0.3953,0.8306,1.3095,1.7627,2.1628,2.5029,2.7859,3.0189,3.2097,3.3658,3.494,3.5996,3.6873,3.7606,3.8225,3.8751,3.9203,3.9594,3.9936,4.0238,4.0505,4.0745,4.0961,4.1157,4.1335,4.1498,4.1649,4.1787,4.1916
2012-12-31,0.1943,0.2485,0.3756,0.5505,0.7539,0.9715,1.1928,1.4102,1.6183,1.8137,1.9941,2.1585,2.3063,2.4378,2.5536,2.6543,2.741,2.8147,2.8765,2.9276,2.969,3.0017,3.0268,3.0451,3.0575,3.0648,3.0675,3.0665,3.0622,3.0551
2011-12-31,0.1493,0.2425,0.4165,0.6365,0.8778,1.1237,1.363,1.5886,1.7963,1.9843,2.1518,2.2994,2.4279,2.5388,2.6337,2.7141,2.7817,2.838,2.8845,2.9225,2.9531,2.9776,2.9967,3.0113,3.0222,3.03,3.0351,3.038,3.0393,3.039
2010-12-31,0.3033,0.5956,1.0605,1.5529,2.0129,2.4201,2.7719,3.0724,3.3279,3.5448,3.7289,3.8852,4.0179,4.1302,4.2252,4.305,4.3718,4.4272,4.4726,4.5093,4.5383,4.5606,4.5769,4.588,4.5945,4.5969,4.5958,4.5916,4.5846,4.5752
2009-12-31,0.5461,1.1416,1.7052,2.2213,2.6824,3.0863,3.4343,3.7299,3.9776,4.1824,4.3497,4.4843,4.5909,4.6738,4.7368,4.7831,4.8157,4.837,4.8493,4.8541,4.8531,4.8475,4.8384,4.8265,4.8127,4.7974,4.7811,4.7642,4.7469,4.7296
2008-12-31,0.385,0.5713,0.8642,1.2057,1.5568,1.8928,2.1988,2.4668,2.6936,2.8791,3.0252,3.1351,3.2125,3.2614,3.2857,3.2892,3.2752,3.2471,3.2074,3.1587,3.103,3.0421,2.9775,2.9104,2.8419,2.7728,2.7038,2.6354,2.5681,2.5021
2007-12-31,3.2102,3.0303,3.0733,3.2294,3.4322,3.6432,3.8412,4.0162,4.1644,4.2859,4.3827,4.4578,4.5143,4.5554,4.5838,4.6022,4.6127,4.6169,4.6164,4.6123,4.6056,4.597,4.5872,4.5765,4.5653,4.5539,4.5424,4.5311,4.52,4.5092
2006-12-31,4.953,4.7738,4.6687,4.6164,4.6006,4.6094,4.634,4.6676,4.7056,4.7444,4.7816,4.8155,4.8448,4.869,4.8876,4.9004,4.9074,4.9089,4.9049,4.8958,4.882,4.8636,4.8411,4.8148,4.785,4.7521,4.7165,4.6783,4.6378,4.5954
2005-12-31,4.4007,4.3815,4.3389,4.3066,4.2946,4.3026,4.3262,4.3604,4.4004,4.4422,4.483,4.5206,4.5537,4.5813,4.603,4.6185,4.6279,4.6313,4.629,4.6213,4.6086,4.5913,4.5696,4.5441,4.5151,4.483,4.448,4.4105,4.3708,4.3292
2004-12-31,2.7691,3.0653,3.2722,3.4518,3.6247,3.795,3.9611,4.1202,4.2694,4.407,4.5318,4.6432,4.7412,4.8261,4.8984,4.9587,5.0078,5.0465,5.0754,5.0953,5.107,5.1112,5.1086,5.0997,5.0853,5.0657,5.0416,5.0134,4.9815,4.9464
2003-12-31,1.2427,1.825,2.3796,2.8496,3.2465,3.5862,3.88,4.1359,4.3593,4.5544,4.7245,4.8724,5.0002,5.1101,5.2038,5.2829,5.3488,5.4028,5.446,5.4795,5.5042,5.5211,5.5308,5.5341,5.5316,5.5241,5.5119,5.4957,5.4758,5.4526
2002-12-31,1.2389,1.5945,2.035,2.4584,2.8458,3.195,3.5075,3.7855,4.0317,4.2487,4.4388,4.6043,4.7475,4.8701,4.9742,5.0613,5.133,5.1907,5.2358,5.2694,5.2927,5.3066,5.3122,5.3102,5.3014,5.2866,5.2663,5.2413,5.212,5.1789
